source,key,description,W7,W7 Question Mistral,W7 Mistral V2,
merimee,REF,Référence de la notice,What,What,What,"La description 'Référence de la notice' fait référence à un objet, un titre ou une référence."
merimee,DPT,Code du département au moment de la protection ou de l’étude,Where,Where,Where,La description 'Code du département au moment de la protection ou de l’étude' fait référence à un lieu (département).
merimee,TICO,Titre courant,What,What,What,"La description 'Titre courant' fait référence à un objet, un titre ou une référence."
merimee,APPL,Appellation d'usage,What,What,What,"La description 'Appellation d'usage' fait référence à un objet, un titre ou une référence."
merimee,DENO,Dénomination de l'édifice,What,What,What,"La description 'Dénomination de l'édifice' fait référence à un objet, un titre ou une référence."
merimee,PDEN,Précision sur la typologie de l'édifice,What,What,What,La description 'Précision sur la typologie de l'édifice' fait référence à un type ou une typologie.
merimee,GENR,Qualité des personnes pour qui l'édifice a été construit ou transformé,Who,Who,Who,La description 'Qualité des personnes pour qui l'édifice a été construit ou transformé' fait référence à une personne ou un acteur.
merimee,VOCA,"Vocable, pour les édifices cultuels",What,What,What,"La description 'Vocable, pour les édifices cultuels' fait référence à un objet, un titre ou une référence."
merimee,ACTU,Destination actuelle de l'édifice,Where,Where,What,La description 'Destination actuelle de l'édifice' fait référence à un lieu (destination).
merimee,MOSA,Édition d'une mosaïque d'images,Which,What,Which,La description 'Édition d'une mosaïque d'images' fait référence à un objet (mosaïque).
merimee,COLL,Nombre d'édifices concernés par l'étude,What,What,What,La description 'Nombre d'édifices concernés par l'étude' fait référence à une quantité (nombre).
merimee,PLOC,Précision sur la localisation,Where,Where,Where,La description 'Précision sur la localisation' fait référence à un lieu ou une localisation.
merimee,AIRE,Aire d'étude pour le domaine de l'Inventaire,Where,Where,Where,La description 'Aire d'étude pour le domaine de l'Inventaire' fait référence à un lieu ou une localisation.
merimee,CANT,Canton,Where,Where,Where,La description 'Canton' fait référence à un lieu ou une localisation.
merimee,LIEU,Lieu-dit,Where,Where,Where,La description 'Lieu-dit' fait référence à un lieu ou une localisation.
merimee,ADRS,Adresse de l'édifice,Where,Where,Where,La description 'Adresse de l'édifice' fait référence à un lieu ou une localisation.
merimee,CADA,Références cadastrales,"What, Where",What,What,"La description 'Références cadastrales' fait référence à un objet, un titre ou une référence."
merimee,IMPL,Milieu d'implantation pour le domaine de l'Inventaire,Where,Where,Where,La description 'Milieu d'implantation pour le domaine de l'Inventaire' fait référence à un lieu ou une localisation.
merimee,HYDR,Nom du cours d'eau traversant ou bordant l'édifice,Where,What,Where,"La description 'Nom du cours d'eau traversant ou bordant l'édifice' fait référence à un objet, un titre ou une référence."
merimee,PARN,Partie constituante non étudiée,What,What,What,"Par défaut, la description 'Partie constituante non étudiée' est associée à 'What' (objet/référence)."
merimee,EDIF,Nom de l'édifice,What,What,What,"La description 'Nom de l'édifice' fait référence à un objet, un titre ou une référence."
merimee,POP_COORDONNEES.LAT,POP_COORDONNEES.LAT,Where,What,What,"Par défaut, la description 'POP_COORDONNEES.LAT' est associée à 'What' (objet/référence)."
merimee,POP_COORDONNEES.LON,POP_COORDONNEES.LON,Where,What,What,"Par défaut, la description 'POP_COORDONNEES.LON' est associée à 'What' (objet/référence)."
merimee,DPT_ACTU,Département actuel,Where,Where,Where,La description 'Département actuel' fait référence à un lieu ou une localisation.
merimee,COM_ACTU,Commune actuelle,Where,Where,Where,La description 'Commune actuelle' fait référence à un lieu ou une localisation.
merimee,WEB,Code INSEE de la commune actuelle,Where,What,Where,"La description 'Code INSEE de la commune actuelle' fait référence à un objet, un titre ou une référence."
merimee,SCLE,Siècle de campagne principale de construction,When,When,When,La description 'Siècle de campagne principale de construction' fait référence à une date ou une période.
merimee,SCLD,Siècle de campagne secondaire de construction,When,Where,Where,La description 'Siècle de campagne secondaire de construction' fait référence à un lieu ou une localisation.
merimee,DATE,Année(s) de(s) campagne(s) de construction,When,When,When,La description 'Année(s) de(s) campagne(s) de construction' fait référence à une date ou une période.
merimee,JDAT,Commentaire concernant la datation,"When, How",Where,Where,La description 'Commentaire concernant la datation' fait référence à un lieu ou une localisation.
merimee,AUTR,Auteur de l'édifice,Who,Who,Who,La description 'Auteur de l'édifice' fait référence à une personne ou un acteur.
merimee,REFM,Référence de la base MARQ,What,What,What,"La description 'Référence de la base MARQ' fait référence à un objet, un titre ou une référence."
merimee,JATT,Commentaire concernant l'attribution de l'édifice,"What, How",Where,Where,La description 'Commentaire concernant l'attribution de l'édifice' fait référence à un lieu ou une localisation.
merimee,PERS,Personnalité liée à l'histoire de l'édifice,Who,What,What,"Par défaut, la description 'Personnalité liée à l'histoire de l'édifice' est associée à 'What' (objet/référence)."
merimee,REMP,Remploi,What,What,What,"Par défaut, la description 'Remploi' est associée à 'What' (objet/référence)."
merimee,DEPL,Lieu de conservation d'un élément architectural déplacé,Where,Where,Where,La description 'Lieu de conservation d'un élément architectural déplacé' fait référence à un lieu ou une localisation.
merimee,HIST,Description historique,What,What,What,"Par défaut, la description 'Description historique' est associée à 'What' (objet/référence)."
merimee,MURS,Matériaux du gros-œuvre,How,What,What,"Par défaut, la description 'Matériaux du gros-œuvre' est associée à 'What' (objet/référence)."
merimee,TOIT,Matériaux de la couverture ,How,What,What,"Par défaut, la description 'Matériaux de la couverture ' est associée à 'What' (objet/référence)."
merimee,PLAN,Typologie de plan,What,What,What,"La description 'Typologie de plan' fait référence à un objet, un titre ou une référence."
